n,T,pr,Model,Activity,Scenario,Region,Label,Mask,Season,Year,
0,0.23,4.11,bccr_bcm2_0,CMIP3,A1B,Alaska/NW Canada,ALA,land,ANN,2085,
1,0.26,6.74,bccr_bcm2_0,CMIP3,A1B,Alaska/NW Canada,ALA,land,DJF,2085,
2,0.19,1.99,bccr_bcm2_0,CMIP3,A1B,Alaska/NW Canada,ALA,land,JJA,2085,
3,0.16,3.03,bccr_bcm2_0,CMIP3,A1B,Alaska/NW Canada,ALA,land,MAM,2085,
4,0.29,4.68,bccr_bcm2_0,CMIP3,A1B,Alaska/NW Canada,ALA,land,SON,2085,
5,0.24,2.77,bccr_bcm2_0,CMIP3,A1B,South America: Amazon,AMZ,land,ANN,2085,
6,0.26,2.62,bccr_bcm2_0,CMIP3,A1B,South America: Amazon,AMZ,land,DJF,2085,
7,0.01,2.94,bccr_bcm2_0,CMIP3,A1B,South America: Amazon,AMZ,land,JJA,2085,
8,0.26,2.68,bccr_bcm2_0,CMIP3,A1B,South America: Amazon,AMZ,land,MAM,2085,
9,0.44,2.86,bccr_bcm2_0,CMIP3,A1B,South America: Amazon,AMZ,land,SON,2085,
10,-0.18,2.28,bccr_bcm2_0,CMIP3,A1B,Central America,CAM,land,ANN,2085,
11,-0.41,2.25,bccr_bcm2_0,CMIP3,A1B,Central America,CAM,land,DJF,2085,
12,-0.21,2.18,bccr_bcm2_0,CMIP3,A1B,Central America,CAM,land,JJA,2085,
13,-0.19,2.48,bccr_bcm2_0,CMIP3,A1B,Central America,CAM,land,MAM,2085,
14,0.09,2.21,bccr_bcm2_0,CMIP3,A1B,Central America,CAM,land,SON,2085,
15,0.0,3.11,bccr_bcm2_0,CMIP3,A1B,Central Asia,CAS,land,ANN,2085,
16,0.09,3.3,bccr_bcm2_0,CMIP3,A1B,Central Asia,CAS,land,DJF,2085,
17,0.03,3.23,bccr_bcm2_0,CMIP3,A1B,Central Asia,CAS,land,JJA,2085,
18,-0.07,3.31,bccr_bcm2_0,CMIP3,A1B,Central Asia,CAS,land,MAM,2085,
19,-0.03,2.62,bccr_bcm2_0,CMIP3,A1B,Central Asia,CAS,land,SON,2085,
20,-0.0,3.27,bccr_bcm2_0,CMIP3,A1B,Central Europe,CEU,land,ANN,2085,
21,0.27,3.42,bccr_bcm2_0,CMIP3,A1B,Central Europe,CEU,land,DJF,2085,
22,-0.33,3.02,bccr_bcm2_0,CMIP3,A1B,Central Europe,CEU,land,JJA,2085,
23,0.21,4.16,bccr_bcm2_0,CMIP3,A1B,Central Europe,CEU,land,MAM,2085,
24,-0.16,2.48,bccr_bcm2_0,CMIP3,A1B,Central Europe,CEU,land,SON,2085,
